source,target,case_sensitive,word_boundary,notes
"修真","Cultivation",true,false,"Core concept"
"师兄","Senior Brother",true,false,"Relationship"
"师姐","Senior Sister",true,false,"Relationship"
"师弟","Junior Brother",true,false,"Relationship"
"师妹","Junior Sister",true,false,"Relationship"
"宗主","Sect Master",true,false,"Title"
"长老","Elder",true,false,"Title"
"掌门","Sect Leader",true,false,"Title"
"道心","Dao Heart",true,false,"Cultivation term"
"天道","Heavenly Dao",true,false,"Concept"
"元神","Primordial Spirit",true,false,"Cultivation term"
"金丹","Golden Core",true,false,"Cultivation stage"
"元婴","Nascent Soul",true,false,"Cultivation stage"
"化神","Spirit Severing",true,false,"Cultivation stage"
"炼虚","Void Refinement",true,false,"Cultivation stage"
"合体","Body Integration",true,false,"Cultivation stage"
"大乘","Mahayana",true,false,"Cultivation stage"
"渡劫","Tribulation Transcendence",true,false,"Cultivation stage"
"灵根","Spirit Root",true,false,"Cultivation concept"
"灵石","Spirit Stone",true,false,"Currency"
"灵气","Spiritual Qi",true,false,"Energy"
"仙","Immortal",true,true,"Being"
"魔","Demon",true,true,"Being"
"妖","Monster",true,true,"Being"
